1e6.xyz
1  SP_EE(Eh)=-3483.15969723, gcorr(Eh)=1.13614343, G(Eh)=-3482.02355380, Rel. G(kcal/mol)=0.00
9  SP_EE(Eh)=-3483.15453361, gcorr(Eh)=1.13629565, G(Eh)=-3482.01823796, Rel. G(kcal/mol)=3.26
10 SP_EE(Eh)=-3483.15355184, gcorr(Eh)=1.13537699, G(Eh)=-3482.01817485, Rel. G(kcal/mol)=3.30
11 SP_EE(Eh)=-3483.15438694, gcorr(Eh)=1.13644733, G(Eh)=-3482.01793961, Rel. G(kcal/mol)=3.45
12 SP_EE(Eh)=-3483.15290412, gcorr(Eh)=1.13531597, G(Eh)=-3482.01758815, Rel. G(kcal/mol)=3.67
13 SP_EE(Eh)=-3483.14900549, gcorr(Eh)=1.13288295, G(Eh)=-3482.01612254, Rel. G(kcal/mol)=4.59
14 SP_EE(Eh)=-3483.15212879, gcorr(Eh)=1.13602564, G(Eh)=-3482.01610315, Rel. G(kcal/mol)=4.60
15 SP_EE(Eh)=-3483.15013681, gcorr(Eh)=1.13410422, G(Eh)=-3482.01603259, Rel. G(kcal/mol)=4.64
16 SP_EE(Eh)=-3483.14652008, gcorr(Eh)=1.13503228, G(Eh)=-3482.01148780, Rel. G(kcal/mol)=7.49
17 SP_EE(Eh)=-3483.14591271, gcorr(Eh)=1.13551647, G(Eh)=-3482.01039624, Rel. G(kcal/mol)=8.18

2e9.xyz
1  SP_EE(Eh)=-2687.39080398, gcorr(Eh)=1.06239749, G(Eh)=-2686.32840649, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2687.39231390, gcorr(Eh)=1.06446446, G(Eh)=-2686.32784944, Rel. G(kcal/mol)=0.35
3  SP_EE(Eh)=-2687.38987889, gcorr(Eh)=1.06232480, G(Eh)=-2686.32755409, Rel. G(kcal/mol)=0.53
4  SP_EE(Eh)=-2687.38816355, gcorr(Eh)=1.06114815, G(Eh)=-2686.32701540, Rel. G(kcal/mol)=0.87
5  SP_EE(Eh)=-2687.39063507, gcorr(Eh)=1.06489496, G(Eh)=-2686.32574011, Rel. G(kcal/mol)=1.67
6  SP_EE(Eh)=-2687.38927148, gcorr(Eh)=1.06358927, G(Eh)=-2686.32568221, Rel. G(kcal/mol)=1.71
7  SP_EE(Eh)=-2687.38756090, gcorr(Eh)=1.06317640, G(Eh)=-2686.32438450, Rel. G(kcal/mol)=2.52
8  SP_EE(Eh)=-2687.38743616, gcorr(Eh)=1.06401591, G(Eh)=-2686.32342025, Rel. G(kcal/mol)=3.13
9  SP_EE(Eh)=-2687.38561729, gcorr(Eh)=1.06306115, G(Eh)=-2686.32255614, Rel. G(kcal/mol)=3.67
10 SP_EE(Eh)=-2687.38695220, gcorr(Eh)=1.06455858, G(Eh)=-2686.32239362, Rel. G(kcal/mol)=3.77
11 SP_EE(Eh)=-2687.38669287, gcorr(Eh)=1.06462063, G(Eh)=-2686.32207224, Rel. G(kcal/mol)=3.97
12 SP_EE(Eh)=-2687.38497214, gcorr(Eh)=1.06340885, G(Eh)=-2686.32156329, Rel. G(kcal/mol)=4.29
13 SP_EE(Eh)=-2687.38266104, gcorr(Eh)=1.06285231, G(Eh)=-2686.31980873, Rel. G(kcal/mol)=5.40
14 SP_EE(Eh)=-2687.38378253, gcorr(Eh)=1.06449449, G(Eh)=-2686.31928804, Rel. G(kcal/mol)=5.72
15 SP_EE(Eh)=-2687.38299736, gcorr(Eh)=1.06396046, G(Eh)=-2686.31903690, Rel. G(kcal/mol)=5.88
16 SP_EE(Eh)=-2687.38276420, gcorr(Eh)=1.06437217, G(Eh)=-2686.31839203, Rel. G(kcal/mol)=6.28
17 SP_EE(Eh)=-2687.38078618, gcorr(Eh)=1.06274283, G(Eh)=-2686.31804335, Rel. G(kcal/mol)=6.50
18 SP_EE(Eh)=-2687.38026066, gcorr(Eh)=1.06312973, G(Eh)=-2686.31713093, Rel. G(kcal/mol)=7.08
19 SP_EE(Eh)=-2687.38022979, gcorr(Eh)=1.06328333, G(Eh)=-2686.31694646, Rel. G(kcal/mol)=7.19
20 SP_EE(Eh)=-2687.38057854, gcorr(Eh)=1.06384773, G(Eh)=-2686.31673081, Rel. G(kcal/mol)=7.33
21 SP_EE(Eh)=-2687.37873420, gcorr(Eh)=1.06290292, G(Eh)=-2686.31583128, Rel. G(kcal/mol)=7.89

2r9.xyz
1  SP_EE(Eh)=-2687.39294363, gcorr(Eh)=1.06275594, G(Eh)=-2686.33018769, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2687.39008788, gcorr(Eh)=1.06168065, G(Eh)=-2686.32840723, Rel. G(kcal/mol)=1.12
3  SP_EE(Eh)=-2687.39269135, gcorr(Eh)=1.06444560, G(Eh)=-2686.32824575, Rel. G(kcal/mol)=1.22
4  SP_EE(Eh)=-2687.39024195, gcorr(Eh)=1.06374194, G(Eh)=-2686.32650001, Rel. G(kcal/mol)=2.31
5  SP_EE(Eh)=-2687.38740124, gcorr(Eh)=1.06354804, G(Eh)=-2686.32385320, Rel. G(kcal/mol)=3.97
6  SP_EE(Eh)=-2687.38437434, gcorr(Eh)=1.06218279, G(Eh)=-2686.32219155, Rel. G(kcal/mol)=5.02
7  SP_EE(Eh)=-2687.38361354, gcorr(Eh)=1.06161361, G(Eh)=-2686.32199993, Rel. G(kcal/mol)=5.14
8  SP_EE(Eh)=-2687.38412616, gcorr(Eh)=1.06265367, G(Eh)=-2686.32147249, Rel. G(kcal/mol)=5.47
9  SP_EE(Eh)=-2687.38605828, gcorr(Eh)=1.06476732, G(Eh)=-2686.32129096, Rel. G(kcal/mol)=5.58
10 SP_EE(Eh)=-2687.38340027, gcorr(Eh)=1.06275111, G(Eh)=-2686.32064916, Rel. G(kcal/mol)=5.99
11 SP_EE(Eh)=-2687.38299332, gcorr(Eh)=1.06322287, G(Eh)=-2686.31977045, Rel. G(kcal/mol)=6.54
12 SP_EE(Eh)=-2687.38381312, gcorr(Eh)=1.06469104, G(Eh)=-2686.31912208, Rel. G(kcal/mol)=6.94
13 SP_EE(Eh)=-2687.38379570, gcorr(Eh)=1.06481195, G(Eh)=-2686.31898375, Rel. G(kcal/mol)=7.03
14 SP_EE(Eh)=-2687.38176854, gcorr(Eh)=1.06361172, G(Eh)=-2686.31815682, Rel. G(kcal/mol)=7.55
15 SP_EE(Eh)=-2687.38230056, gcorr(Eh)=1.06420617, G(Eh)=-2686.31809439, Rel. G(kcal/mol)=7.59
16 SP_EE(Eh)=-2687.38218695, gcorr(Eh)=1.06473530, G(Eh)=-2686.31745165, Rel. G(kcal/mol)=7.99

3e4.xyz
1  SP_EE(Eh)=-2686.19835258, gcorr(Eh)=1.04190330, G(Eh)=-2685.15644928, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2686.19805485, gcorr(Eh)=1.04280988, G(Eh)=-2685.15524497, Rel. G(kcal/mol)=0.76
3  SP_EE(Eh)=-2686.19859857, gcorr(Eh)=1.04380497, G(Eh)=-2685.15479360, Rel. G(kcal/mol)=1.04
4  SP_EE(Eh)=-2686.19761396, gcorr(Eh)=1.04302941, G(Eh)=-2685.15458455, Rel. G(kcal/mol)=1.17
5  SP_EE(Eh)=-2686.19839737, gcorr(Eh)=1.04406833, G(Eh)=-2685.15432904, Rel. G(kcal/mol)=1.33
6  SP_EE(Eh)=-2686.19879227, gcorr(Eh)=1.04480395, G(Eh)=-2685.15398832, Rel. G(kcal/mol)=1.54
7  SP_EE(Eh)=-2686.19618627, gcorr(Eh)=1.04222117, G(Eh)=-2685.15396510, Rel. G(kcal/mol)=1.56
8  SP_EE(Eh)=-2686.19703770, gcorr(Eh)=1.04415853, G(Eh)=-2685.15287917, Rel. G(kcal/mol)=2.24
9  SP_EE(Eh)=-2686.19564183, gcorr(Eh)=1.04328800, G(Eh)=-2685.15235383, Rel. G(kcal/mol)=2.57
10 SP_EE(Eh)=-2686.19532251, gcorr(Eh)=1.04310858, G(Eh)=-2685.15221393, Rel. G(kcal/mol)=2.66
11 SP_EE(Eh)=-2686.19458574, gcorr(Eh)=1.04255807, G(Eh)=-2685.15202767, Rel. G(kcal/mol)=2.77
12 SP_EE(Eh)=-2686.19429430, gcorr(Eh)=1.04227402, G(Eh)=-2685.15202028, Rel. G(kcal/mol)=2.78
13 SP_EE(Eh)=-2686.19476562, gcorr(Eh)=1.04285068, G(Eh)=-2685.15191494, Rel. G(kcal/mol)=2.85
14 SP_EE(Eh)=-2686.19616790, gcorr(Eh)=1.04429551, G(Eh)=-2685.15187239, Rel. G(kcal/mol)=2.87
15 SP_EE(Eh)=-2686.19568149, gcorr(Eh)=1.04399978, G(Eh)=-2685.15168171, Rel. G(kcal/mol)=2.99
16 SP_EE(Eh)=-2686.19687213, gcorr(Eh)=1.04541108, G(Eh)=-2685.15146105, Rel. G(kcal/mol)=3.13
17 SP_EE(Eh)=-2686.19273217, gcorr(Eh)=1.04139626, G(Eh)=-2685.15133591, Rel. G(kcal/mol)=3.21
18 SP_EE(Eh)=-2686.19336017, gcorr(Eh)=1.04247042, G(Eh)=-2685.15088975, Rel. G(kcal/mol)=3.49
19 SP_EE(Eh)=-2686.19342291, gcorr(Eh)=1.04254029, G(Eh)=-2685.15088262, Rel. G(kcal/mol)=3.49
20 SP_EE(Eh)=-2686.19270625, gcorr(Eh)=1.04216721, G(Eh)=-2685.15053904, Rel. G(kcal/mol)=3.71
21 SP_EE(Eh)=-2686.19204796, gcorr(Eh)=1.04156035, G(Eh)=-2685.15048761, Rel. G(kcal/mol)=3.74
22 SP_EE(Eh)=-2686.19290654, gcorr(Eh)=1.04267790, G(Eh)=-2685.15022864, Rel. G(kcal/mol)=3.90
23 SP_EE(Eh)=-2686.19270986, gcorr(Eh)=1.04249608, G(Eh)=-2685.15021378, Rel. G(kcal/mol)=3.91
24 SP_EE(Eh)=-2686.19336462, gcorr(Eh)=1.04371392, G(Eh)=-2685.14965070, Rel. G(kcal/mol)=4.27
25 SP_EE(Eh)=-2686.19211569, gcorr(Eh)=1.04253519, G(Eh)=-2685.14958050, Rel. G(kcal/mol)=4.31
26 SP_EE(Eh)=-2686.19224020, gcorr(Eh)=1.04274758, G(Eh)=-2685.14949262, Rel. G(kcal/mol)=4.37
27 SP_EE(Eh)=-2686.19266023, gcorr(Eh)=1.04365590, G(Eh)=-2685.14900433, Rel. G(kcal/mol)=4.67
28 SP_EE(Eh)=-2686.19312207, gcorr(Eh)=1.04416244, G(Eh)=-2685.14895963, Rel. G(kcal/mol)=4.70
29 SP_EE(Eh)=-2686.19137803, gcorr(Eh)=1.04263540, G(Eh)=-2685.14874263, Rel. G(kcal/mol)=4.84
30 SP_EE(Eh)=-2686.19206057, gcorr(Eh)=1.04362425, G(Eh)=-2685.14843632, Rel. G(kcal/mol)=5.03
31 SP_EE(Eh)=-2686.19235313, gcorr(Eh)=1.04392222, G(Eh)=-2685.14843091, Rel. G(kcal/mol)=5.03
32 SP_EE(Eh)=-2686.19277127, gcorr(Eh)=1.04489887, G(Eh)=-2685.14787240, Rel. G(kcal/mol)=5.38
33 SP_EE(Eh)=-2686.19128307, gcorr(Eh)=1.04344514, G(Eh)=-2685.14783793, Rel. G(kcal/mol)=5.40
34 SP_EE(Eh)=-2686.19145711, gcorr(Eh)=1.04423237, G(Eh)=-2685.14722474, Rel. G(kcal/mol)=5.79
35 SP_EE(Eh)=-2686.19017265, gcorr(Eh)=1.04329742, G(Eh)=-2685.14687523, Rel. G(kcal/mol)=6.01
36 SP_EE(Eh)=-2686.18746449, gcorr(Eh)=1.04218327, G(Eh)=-2685.14528122, Rel. G(kcal/mol)=7.01
37 SP_EE(Eh)=-2686.18936884, gcorr(Eh)=1.04537537, G(Eh)=-2685.14399347, Rel. G(kcal/mol)=7.82

3e6.xyz
1  SP_EE(Eh)=-3443.87031818, gcorr(Eh)=1.10976061, G(Eh)=-3442.76055757, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-3443.86523971, gcorr(Eh)=1.10803792, G(Eh)=-3442.75720179, Rel. G(kcal/mol)=2.11
3  SP_EE(Eh)=-3443.86517204, gcorr(Eh)=1.10948750, G(Eh)=-3442.75568454, Rel. G(kcal/mol)=3.06
4  SP_EE(Eh)=-3443.86409275, gcorr(Eh)=1.10931508, G(Eh)=-3442.75477767, Rel. G(kcal/mol)=3.63
5  SP_EE(Eh)=-3443.86301124, gcorr(Eh)=1.10835519, G(Eh)=-3442.75465605, Rel. G(kcal/mol)=3.70
6  SP_EE(Eh)=-3443.86321527, gcorr(Eh)=1.10870281, G(Eh)=-3442.75451246, Rel. G(kcal/mol)=3.79
7  SP_EE(Eh)=-3443.86399906, gcorr(Eh)=1.10951859, G(Eh)=-3442.75448047, Rel. G(kcal/mol)=3.81
8  SP_EE(Eh)=-3443.86172954, gcorr(Eh)=1.10831740, G(Eh)=-3442.75341214, Rel. G(kcal/mol)=4.48
9  SP_EE(Eh)=-3443.86093233, gcorr(Eh)=1.10757785, G(Eh)=-3442.75335448, Rel. G(kcal/mol)=4.52
10 SP_EE(Eh)=-3443.86240509, gcorr(Eh)=1.10954526, G(Eh)=-3442.75285983, Rel. G(kcal/mol)=4.83
11 SP_EE(Eh)=-3443.86259463, gcorr(Eh)=1.10976058, G(Eh)=-3442.75283405, Rel. G(kcal/mol)=4.85
12 SP_EE(Eh)=-3443.86060330, gcorr(Eh)=1.10845654, G(Eh)=-3442.75214676, Rel. G(kcal/mol)=5.28
13 SP_EE(Eh)=-3443.86201159, gcorr(Eh)=1.11004533, G(Eh)=-3442.75196626, Rel. G(kcal/mol)=5.39
14 SP_EE(Eh)=-3443.86031518, gcorr(Eh)=1.10870368, G(Eh)=-3442.75161150, Rel. G(kcal/mol)=5.61
15 SP_EE(Eh)=-3443.85978861, gcorr(Eh)=1.10843391, G(Eh)=-3442.75135470, Rel. G(kcal/mol)=5.77
16 SP_EE(Eh)=-3443.86033769, gcorr(Eh)=1.10931683, G(Eh)=-3442.75102086, Rel. G(kcal/mol)=5.98
17 SP_EE(Eh)=-3443.86030776, gcorr(Eh)=1.10947535, G(Eh)=-3442.75083241, Rel. G(kcal/mol)=6.10
18 SP_EE(Eh)=-3443.85891045, gcorr(Eh)=1.10856201, G(Eh)=-3442.75034844, Rel. G(kcal/mol)=6.41

3r4.xyz
1  SP_EE(Eh)=-2686.19471817, gcorr(Eh)=1.04262020, G(Eh)=-2685.15209797, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2686.19629279, gcorr(Eh)=1.04424229, G(Eh)=-2685.15205050, Rel. G(kcal/mol)=0.03
3  SP_EE(Eh)=-2686.19411241, gcorr(Eh)=1.04221155, G(Eh)=-2685.15190086, Rel. G(kcal/mol)=0.12
4  SP_EE(Eh)=-2686.19556570, gcorr(Eh)=1.04375116, G(Eh)=-2685.15181454, Rel. G(kcal/mol)=0.18
5  SP_EE(Eh)=-2686.19274878, gcorr(Eh)=1.04103717, G(Eh)=-2685.15171161, Rel. G(kcal/mol)=0.24
6  SP_EE(Eh)=-2686.19611189, gcorr(Eh)=1.04457362, G(Eh)=-2685.15153827, Rel. G(kcal/mol)=0.35
7  SP_EE(Eh)=-2686.19506904, gcorr(Eh)=1.04359930, G(Eh)=-2685.15146974, Rel. G(kcal/mol)=0.39
8  SP_EE(Eh)=-2686.19569550, gcorr(Eh)=1.04426553, G(Eh)=-2685.15142997, Rel. G(kcal/mol)=0.42
9  SP_EE(Eh)=-2686.19457238, gcorr(Eh)=1.04370028, G(Eh)=-2685.15087210, Rel. G(kcal/mol)=0.77
10 SP_EE(Eh)=-2686.19453091, gcorr(Eh)=1.04402612, G(Eh)=-2685.15050479, Rel. G(kcal/mol)=1.00
11 SP_EE(Eh)=-2686.19356029, gcorr(Eh)=1.04310835, G(Eh)=-2685.15045194, Rel. G(kcal/mol)=1.03
12 SP_EE(Eh)=-2686.19555242, gcorr(Eh)=1.04525543, G(Eh)=-2685.15029699, Rel. G(kcal/mol)=1.13
13 SP_EE(Eh)=-2686.19613771, gcorr(Eh)=1.04584837, G(Eh)=-2685.15028934, Rel. G(kcal/mol)=1.13
14 SP_EE(Eh)=-2686.19321998, gcorr(Eh)=1.04342063, G(Eh)=-2685.14979935, Rel. G(kcal/mol)=1.44
15 SP_EE(Eh)=-2686.19237252, gcorr(Eh)=1.04348760, G(Eh)=-2685.14888492, Rel. G(kcal/mol)=2.02
16 SP_EE(Eh)=-2686.19191378, gcorr(Eh)=1.04311038, G(Eh)=-2685.14880340, Rel. G(kcal/mol)=2.07
17 SP_EE(Eh)=-2686.19379909, gcorr(Eh)=1.04502077, G(Eh)=-2685.14877832, Rel. G(kcal/mol)=2.08
18 SP_EE(Eh)=-2686.19048971, gcorr(Eh)=1.04455258, G(Eh)=-2685.14593713, Rel. G(kcal/mol)=3.87

3r6.xyz
1  SP_EE(Eh)=-3443.86899495, gcorr(Eh)=1.10911145, G(Eh)=-3442.75988350, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-3443.86854131, gcorr(Eh)=1.10876591, G(Eh)=-3442.75977540, Rel. G(kcal/mol)=0.07
3  SP_EE(Eh)=-3443.86668521, gcorr(Eh)=1.10719757, G(Eh)=-3442.75948764, Rel. G(kcal/mol)=0.25
4  SP_EE(Eh)=-3443.86706451, gcorr(Eh)=1.10797958, G(Eh)=-3442.75908493, Rel. G(kcal/mol)=0.50
5  SP_EE(Eh)=-3443.86639856, gcorr(Eh)=1.10816258, G(Eh)=-3442.75823598, Rel. G(kcal/mol)=1.03
6  SP_EE(Eh)=-3443.86642694, gcorr(Eh)=1.10855442, G(Eh)=-3442.75787252, Rel. G(kcal/mol)=1.26
7  SP_EE(Eh)=-3443.86576910, gcorr(Eh)=1.10870087, G(Eh)=-3442.75706823, Rel. G(kcal/mol)=1.77
8  SP_EE(Eh)=-3443.86576645, gcorr(Eh)=1.10924011, G(Eh)=-3442.75652634, Rel. G(kcal/mol)=2.11
9  SP_EE(Eh)=-3443.86296404, gcorr(Eh)=1.10920921, G(Eh)=-3442.75375483, Rel. G(kcal/mol)=3.85
10 SP_EE(Eh)=-3443.86140287, gcorr(Eh)=1.10780314, G(Eh)=-3442.75359973, Rel. G(kcal/mol)=3.94
11 SP_EE(Eh)=-3443.86197905, gcorr(Eh)=1.10869105, G(Eh)=-3442.75328800, Rel. G(kcal/mol)=4.14
12 SP_EE(Eh)=-3443.86220849, gcorr(Eh)=1.10931525, G(Eh)=-3442.75289324, Rel. G(kcal/mol)=4.39
13 SP_EE(Eh)=-3443.86087121, gcorr(Eh)=1.10849711, G(Eh)=-3442.75237410, Rel. G(kcal/mol)=4.71
14 SP_EE(Eh)=-3443.86246339, gcorr(Eh)=1.11028083, G(Eh)=-3442.75218256, Rel. G(kcal/mol)=4.83
15 SP_EE(Eh)=-3443.85986273, gcorr(Eh)=1.10825280, G(Eh)=-3442.75160993, Rel. G(kcal/mol)=5.19
16 SP_EE(Eh)=-3443.85935658, gcorr(Eh)=1.10898287, G(Eh)=-3442.75037371, Rel. G(kcal/mol)=5.97

4e10.xyz
1  SP_EE(Eh)=-2954.18220082, gcorr(Eh)=1.09992111, G(Eh)=-2953.08227971, Rel. G(kcal/mol)=0.00
2  SP_EE(Eh)=-2954.18003606, gcorr(Eh)=1.09915044, G(Eh)=-2953.08088562, Rel. G(kcal/mol)=0.87
3  SP_EE(Eh)=-2954.18099252, gcorr(Eh)=1.10081684, G(Eh)=-2953.08017568, Rel. G(kcal/mol)=1.32
4  SP_EE(Eh)=-2954.17899928, gcorr(Eh)=1.10014595, G(Eh)=-2953.07885333, Rel. G(kcal/mol)=2.15
5  SP_EE(Eh)=-2954.17804720, gcorr(Eh)=1.09920094, G(Eh)=-2953.07884626, Rel. G(kcal/mol)=2.15
6  SP_EE(Eh)=-2954.18006032, gcorr(Eh)=1.10163241, G(Eh)=-2953.07842791, Rel. G(kcal/mol)=2.42
7  SP_EE(Eh)=-2954.17766143, gcorr(Eh)=1.09985552, G(Eh)=-2953.07780591, Rel. G(kcal/mol)=2.81
8  SP_EE(Eh)=-2954.17960351, gcorr(Eh)=1.10182203, G(Eh)=-2953.07778148, Rel. G(kcal/mol)=2.82
9  SP_EE(Eh)=-2954.17852868, gcorr(Eh)=1.10101753, G(Eh)=-2953.07751115, Rel. G(kcal/mol)=2.99
10 SP_EE(Eh)=-2954.17906269, gcorr(Eh)=1.10162739, G(Eh)=-2953.07743530, Rel. G(kcal/mol)=3.04
11 SP_EE(Eh)=-2954.17835185, gcorr(Eh)=1.10111614, G(Eh)=-2953.07723571, Rel. G(kcal/mol)=3.17
12 SP_EE(Eh)=-2954.17858419, gcorr(Eh)=1.10171938, G(Eh)=-2953.07686481, Rel. G(kcal/mol)=3.40
13 SP_EE(Eh)=-2954.17542863, gcorr(Eh)=1.09867073, G(Eh)=-2953.07675790, Rel. G(kcal/mol)=3.46
14 SP_EE(Eh)=-2954.17688082, gcorr(Eh)=1.10027635, G(Eh)=-2953.07660447, Rel. G(kcal/mol)=3.56
15 SP_EE(Eh)=-2954.17694001, gcorr(Eh)=1.10042284, G(Eh)=-2953.07651717, Rel. G(kcal/mol)=3.62
16 SP_EE(Eh)=-2954.17842947, gcorr(Eh)=1.10198628, G(Eh)=-2953.07644319, Rel. G(kcal/mol)=3.66
17 SP_EE(Eh)=-2954.17574128, gcorr(Eh)=1.09944225, G(Eh)=-2953.07629903, Rel. G(kcal/mol)=3.75
18 SP_EE(Eh)=-2954.17694764, gcorr(Eh)=1.10066592, G(Eh)=-2953.07628172, Rel. G(kcal/mol)=3.76
19 SP_EE(Eh)=-2954.17728184, gcorr(Eh)=1.10103452, G(Eh)=-2953.07624732, Rel. G(kcal/mol)=3.79
20 SP_EE(Eh)=-2954.17609353, gcorr(Eh)=1.10007498, G(Eh)=-2953.07601855, Rel. G(kcal/mol)=3.93
21 SP_EE(Eh)=-2954.17581979, gcorr(Eh)=1.09984950, G(Eh)=-2953.07597029, Rel. G(kcal/mol)=3.96
22 SP_EE(Eh)=-2954.17747329, gcorr(Eh)=1.10160615, G(Eh)=-2953.07586714, Rel. G(kcal/mol)=4.02
23 SP_EE(Eh)=-2954.17599801, gcorr(Eh)=1.10013844, G(Eh)=-2953.07585957, Rel. G(kcal/mol)=4.03
24 SP_EE(Eh)=-2954.17732047, gcorr(Eh)=1.10152416, G(Eh)=-2953.07579631, Rel. G(kcal/mol)=4.07
25 SP_EE(Eh)=-2954.17571262, gcorr(Eh)=1.10006658, G(Eh)=-2953.07564604, Rel. G(kcal/mol)=4.16
26 SP_EE(Eh)=-2954.17518312, gcorr(Eh)=1.09956313, G(Eh)=-2953.07561999, Rel. G(kcal/mol)=4.18
27 SP_EE(Eh)=-2954.17636754, gcorr(Eh)=1.10089625, G(Eh)=-2953.07547129, Rel. G(kcal/mol)=4.27
28 SP_EE(Eh)=-2954.17602934, gcorr(Eh)=1.10082133, G(Eh)=-2953.07520801, Rel. G(kcal/mol)=4.44
29 SP_EE(Eh)=-2954.17754626, gcorr(Eh)=1.10234920, G(Eh)=-2953.07519706, Rel. G(kcal/mol)=4.44
30 SP_EE(Eh)=-2954.17532178, gcorr(Eh)=1.10054555, G(Eh)=-2953.07477623, Rel. G(kcal/mol)=4.71
31 SP_EE(Eh)=-2954.17500928, gcorr(Eh)=1.10027377, G(Eh)=-2953.07473551, Rel. G(kcal/mol)=4.73
32 SP_EE(Eh)=-2954.17600709, gcorr(Eh)=1.10132800, G(Eh)=-2953.07467909, Rel. G(kcal/mol)=4.77
33 SP_EE(Eh)=-2954.17499262, gcorr(Eh)=1.10037634, G(Eh)=-2953.07461628, Rel. G(kcal/mol)=4.81
34 SP_EE(Eh)=-2954.17582610, gcorr(Eh)=1.10148908, G(Eh)=-2953.07433702, Rel. G(kcal/mol)=4.98
35 SP_EE(Eh)=-2954.17429747, gcorr(Eh)=1.09999529, G(Eh)=-2953.07430218, Rel. G(kcal/mol)=5.01
36 SP_EE(Eh)=-2954.17424612, gcorr(Eh)=1.10042504, G(Eh)=-2953.07382108, Rel. G(kcal/mol)=5.31
37 SP_EE(Eh)=-2954.17463936, gcorr(Eh)=1.10085862, G(Eh)=-2953.07378074, Rel. G(kcal/mol)=5.33
38 SP_EE(Eh)=-2954.17319377, gcorr(Eh)=1.09962895, G(Eh)=-2953.07356482, Rel. G(kcal/mol)=5.47
39 SP_EE(Eh)=-2954.17475219, gcorr(Eh)=1.10118815, G(Eh)=-2953.07356404, Rel. G(kcal/mol)=5.47
40 SP_EE(Eh)=-2954.17384344, gcorr(Eh)=1.10033820, G(Eh)=-2953.07350524, Rel. G(kcal/mol)=5.51
41 SP_EE(Eh)=-2954.17516900, gcorr(Eh)=1.10177592, G(Eh)=-2953.07339308, Rel. G(kcal/mol)=5.58
42 SP_EE(Eh)=-2954.17431304, gcorr(Eh)=1.10094652, G(Eh)=-2953.07336652, Rel. G(kcal/mol)=5.59
